word_eng;pronunciation;word_kor;hint;level;lesson_id
Hello;An-nyeong-ha-se-yo;안녕하세요;Annyeong has a 'Yo!';1;1
Nice to meet you;Ban-gab-seub-ni-da;반갑습니다;Banana gabs you!;1;1
What's your name;i-reum-i mwo-yae-yo?;이름이 뭐예요?;I rummage, mwo?;1;1
I'm John;Jeo-neun John i-eyo;저는 존이에요;Jeo, a nun named John!;1;1
My name is John;Jae-i-reum-eun John i-eyo;제 이름은 존이에요;Jay, I rum and I run with John!;1;1
See you later;da-eum-e tto man-na-yo;다음에 또 만나요;Da-eum, we meet again!;1;1
Good-bye (when you leave the place);Ann-yeong-hi gye-se-yo;안녕히 계세요;Annyeong, he stays yo!;1;1
Good-bye (when the other person leaves the place);Ann-yeong-hi ga-se-yo;안녕히 가세요;Annyeong, he goes yo!;1;1
Thank you;Gam-sa-hab-ni-da;감사합니다;Gamsa? Hamnida! (Sounds like 'Thanks a hamnida!');1;1
I'm sorry;Joe-song-hab-ni-da;죄송합니다;Joe's song? Hamnida!;1;1
It's okay;Gwaen-chanh-seub-ni-da;괜찮습니다;Gwen's chance! Seub-ni-da!;1;1
Yes;Nae;네;Nay to yes!;1;1
No;A-ni-yo;아니요;A neo yo-yo!;1;1
How are you doing?;Eo-tteoh-ge ji-nae-se-yo;어떻게 지내세요?;Oreo cake? Gee, nice yo!;1;1
I'm fine;Jeo-neun jal ji-nae-yo;저는 잘 지내요;Triple J! Jeo-Jal-Jinaeyo!;1;1
